AR,HTR,VCD,PSH,HomeTeam,IWH,AC,HTAG,HF,B365D,AF,HY,Date,WHA,HST,B365H,HR,BWH,AS,PSA,PSD,B365A,HC,WHH,FTAG,Div,AY,VCA,AST,HTHG,IWD,FTHG,FTR,VCH,PSCH,BWA,AwayTeam,BWD,WHD,PSCA,PSCD,HS,IWA
0,H,4.0,1.65,Ein Frankfurt,1.75,1,0,13,3.8,12,0,19/10/2018,5.0,13,1.61,0,1.65,10,5.64,4.09,5.75,5,1.63,1,D1,2,5.5,5,3,3.7,7,H,1.65,1.81,5.25,Fortuna Dusseldorf,4.0,4.0,5.05,3.6,21,4.7
0,D,3.7,3.1,Augsburg,3.1,2,0,20,3.5,24,2,20/10/2018,2.3,0,3.0,0,3.1,15,2.33,3.65,2.3,2,2.88,0,D1,5,2.3,3,0,3.4,0,D,3.0,2.98,2.25,RB Leipzig,3.5,3.6,2.35,3.79,6,2.3
0,D,3.6,1.86,Hertha,1.9,3,1,12,3.6,14,2,21/10/2018,4.33,5,1.85,0,1.87,8,4.74,3.59,4.33,8,1.85,1,D1,0,4.5,3,1,3.5,1,D,1.85,1.93,4.2,Freiburg,3.6,3.5,4.47,3.52,13,4.1
0,D,3.7,3.62,Freiburg,3.4,10,1,9,3.6,12,1,26/10/2018,2.1,7,3.5,0,3.4,11,2.1,3.66,2.0,3,3.3,1,D1,1,2.1,2,1,3.3,3,H,3.5,3.54,2.1,M'gladbach,3.6,3.6,2.14,3.63,13,2.2
0,D,5.0,1.43,Dortmund,1.45,2,1,7,4.75,15,2,27/10/2018,6.5,5,1.4,0,1.42,10,7.49,4.96,8.0,8,1.42,2,D1,3,7.5,4,1,4.5,2,D,1.44,1.48,7.25,Hertha,4.75,4.8,7.04,4.66,19,7.0
0,D,3.5,3.46,Nurnberg,3.5,6,0,11,3.5,13,2,28/10/2018,2.1,3,3.3,0,3.3,10,2.19,3.57,2.14,8,3.3,1,D1,3,2.15,2,0,3.4,1,D,3.4,4.17,2.15,Ein Frankfurt,3.5,3.5,1.93,3.73,10,2.1
0,A,3.4,3.03,Stuttgart,2.75,3,2,4,3.5,10,1,02/11/2018,2.35,0,3.0,0,2.9,15,2.41,3.57,2.3,1,2.9,3,D1,2,2.38,7,0,3.4,0,A,3.13,3.03,2.4,Ein Frankfurt,3.5,3.5,2.41,3.57,10,2.55
0,H,4.2,1.61,Augsburg,1.7,6,0,16,3.8,11,3,03/11/2018,5.25,4,1.6,0,1.6,13,5.85,4.2,6.0,6,1.6,2,D1,3,5.75,5,1,3.8,2,D,1.6,1.64,5.75,Nurnberg,4.0,4.0,5.7,4.12,17,5.0
0,H,3.4,3.04,Mainz,3.15,6,0,7,3.4,8,0,04/11/2018,2.4,6,3.0,0,2.95,14,2.44,3.5,2.37,3,2.88,1,D1,2,2.4,4,1,3.3,2,H,3.0,2.86,2.35,Werder Bremen,3.5,3.4,2.52,3.59,13,2.3
0,H,3.4,3.02,Hannover,2.9,5,0,14,3.3,8,4,09/11/2018,2.4,4,2.9,0,2.9,19,2.46,3.47,2.37,3,2.88,1,D1,2,2.5,9,1,3.4,2,H,2.9,3.0,2.45,Wolfsburg,3.4,3.4,2.45,3.52,10,2.4
0,A,3.9,3.38,Dortmund,2.85,6,1,4,3.8,8,3,10/11/2018,2.1,5,3.1,0,3.0,9,2.12,3.87,2.1,0,3.2,2,D1,3,2.1,3,0,3.5,3,H,3.25,3.86,2.15,Bayern Munich,3.9,3.7,1.88,4.33,11,2.4
0,D,3.4,2.27,Ein Frankfurt,2.4,4,0,7,3.3,13,0,11/11/2018,3.2,4,2.2,0,2.3,5,3.4,3.45,3.4,10,2.25,0,D1,2,3.3,1,0,3.3,3,H,2.25,2.51,3.1,Schalke 04,3.4,3.3,3.04,3.36,14,2.95
